spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Kendrick Lamar,1,0,19,,2/12/2025,90,TRUE,274192,Not Like Us,5/4/2024,0.898,0.472,1,-7.001,1,0.0776,0.0107,0,0.141,0.214,101.061,4
2CGNAOSuO1MEFCbBRgUzjd,luther (with sza),"Kendrick Lamar, SZA",2,1,7,,2/12/2025,89,FALSE,177598,GNX,11/21/2024,0.707,0.575,2,-7.546,1,0.125,0.251,0,0.248,0.576,138.008,4
2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",3,-1,-2,,2/12/2025,99,FALSE,251667,Die With A Smile,8/16/2024,0.521,0.592,6,-7.777,0,0.0304,0.308,0,0.122,0.535,157.969,3
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,4,0,0,,2/12/2025,96,FALSE,210373,HIT ME HARD AND SOFT,5/17/2024,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4
4wJ5Qq0jBN4ajy7ouZIV1c,APT.,"ROSÉ, Bruno Mars",5,0,-2,,2/12/2025,90,FALSE,169917,rosie,12/6/2024,0.777,0.783,0,-4.477,0,0.26,0.0283,0,0.355,0.939,149.027,4
3GCdLUSnKSMJhs4Tj6CV3s,All The Stars (with SZA),"Kendrick Lamar, SZA",6,3,44,,2/12/2025,88,TRUE,232186,Black Panther The Album Music From And Inspired By,2/9/2018,0.695,0.633,8,-4.946,1,0.0599,0.0612,0.000195,0.0926,0.557,96.782,4
0aB0v4027ukVziUGwVGYpG,tv off (feat. lefty gunplay),"Kendrick Lamar, Lefty Gunplay",7,1,20,,2/12/2025,91,TRUE,220690,GNX,11/22/2024,0.855,0.529,6,-6.679,0,0.263,0.0837,0,0.423,0.548,100.036,4
3sK8wGT43QFpWrvNQsrQya,DtMF,Bad Bunny,8,-2,-6,,2/12/2025,98,TRUE,237117,DeBÍ TiRAR MáS FOToS,1/5/2025,0.625,0.131,7,-27.405,0,0.0717,0.177,0.218,0.0807,0.032,136.02,4
5ZLUm9eab8y3tqQ1OhQSHI,Abracadabra,Lady Gaga,9,-2,-4,,2/12/2025,89,FALSE,223398,Abracadabra,2/3/2025,0.68,0.909,10,-3.487,0,0.0624,0.0121,0,0.222,0.633,126.004,4
7ne4VBA60CxGM75vw0EYad,That’s So True,Gracie Abrams,10,0,-3,,2/12/2025,95,TRUE,166300,The Secret of Us (Deluxe),10/18/2024,0.554,0.808,1,-4.169,1,0.0368,0.214,0,0.159,0.372,108.548,4
2lTm559tuIvatlT1u0JYG2,BAILE INoLVIDABLE,Bad Bunny,11,0,-5,,2/12/2025,95,TRUE,367725,DeBÍ TiRAR MáS FOToS,1/5/2025,0.168,0.00332,10,-46.113,1,0.0615,0.192,0.79,0.112,0.219,119.387,3
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,12,0,-2,,2/12/2025,93,FALSE,261466,HIT ME HARD AND SOFT,5/17/2024,0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,4
0nj9Bq5sHDiTxSHunhgkFb,squabble up,Kendrick Lamar,13,0,37,,2/12/2025,88,TRUE,157992,GNX,11/22/2024,0.874,0.672,0,-5.568,1,0.198,0.0206,0,0.0783,0.711,103.921,4
0FIDCNYYjNvPVimz5icugS,Timeless (feat Playboi Carti),"The Weeknd, Playboi Carti",14,0,-6,,2/12/2025,83,TRUE,256000,Hurry Up Tomorrow,1/31/2025,0.768,0.775,11,-5.06,0,0.0466,0.069,2.96E-06,0.138,0.6,119.999,4
35ISBknsCeZQtq66xABI9g,Messy,Lola Young,15,0,-4,,2/12/2025,86,TRUE,284066,This Wasn't Meant For You Anyway,6/21/2024,0.798,0.562,9,-5.913,1,0.0375,0.11,0.00606,0.122,0.647,110.991,4
7tI8dRuH2Yc6RuoTjxo4dU,Who,Jimin,16,1,-1,,2/12/2025,89,FALSE,170887,MUSE,7/19/2024,0.66,0.756,0,-3.743,0,0.032,0.00289,0,0.193,0.838,116.034,4
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,17,-1,-1,,2/12/2025,92,FALSE,218423,"Good Luck, Babe!",4/5/2024,0.7,0.582,11,-5.96,0,0.0356,0.0502,0,0.0881,0.785,116.712,4
5TFD2bmFKGhoCRbX61nXY5,NUEVAYoL,Bad Bunny,18,0,-6,,2/12/2025,94,FALSE,183685,DeBÍ TiRAR MáS FOToS,1/5/2025,0.142,0.195,6,-20.024,1,0.139,0.265,0.995,0.204,0.12,137.922,4
4CPuDVC8jhhK6lA2DIt8Cf,Born Again (feat. Doja Cat & RAYE),"LISA, Doja Cat, RAYE",19,0,31,,2/12/2025,84,FALSE,231174,Born Again (feat. Doja Cat & RAYE),2/6/2025,0.687,0.777,1,-4.704,1,0.0411,0.0686,0,0.0828,0.374,115.01,4
63EQbNhgaih4yg5412usWG,Loco,Neton Vega,20,0,-6,,2/12/2025,90,FALSE,186521,Loco,12/20/2024,0.849,0.708,1,-5.502,1,0.0686,0.0741,0.00768,0.139,0.632,91.981,4
1eTaznNW4Xxtx9za2SMTXB,DENIAL IS A RIVER,Doechii,21,1,2,,2/12/2025,88,TRUE,159586,Alligator Bites Never Heal,8/30/2024,0.825,0.644,6,-3.24,0,0.33,0.0905,0,0.0795,0.622,93.292,4
2HRqTpkrJO5ggZyyK6NPWz,Espresso,Sabrina Carpenter,22,1,-3,,2/12/2025,88,TRUE,175459,Short n' Sweet,8/23/2024,0.699,0.776,0,-5.282,1,0.0293,0.131,5.36E-06,0.205,0.708,103.963,4
2262bWmqomIaJXwCRHr13j,Sailor Song,Gigi Perez,23,-2,-5,,2/12/2025,93,FALSE,211978,Sailor Song,7/26/2024,0.494,0.413,11,-10.432,1,0.0254,0.682,6.72E-05,0.193,0.273,94.938,4
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,24,2,1,,2/12/2025,87,FALSE,180304,Fireworks & Rollerblades,4/5/2024,0.472,0.471,10,-5.692,1,0.0603,0.151,0,0.14,0.219,105.029,3
59D4DOkspUbWyMmbAPQkxZ,VOY A LLeVARTE PA PR,Bad Bunny,25,-1,-8,,2/12/2025,93,TRUE,156364,DeBÍ TiRAR MáS FOToS,1/5/2025,0.148,0.604,7,-35.032,1,0.0588,0.921,0.453,0.405,1.00E-05,106.295,3
6393yGahSJ9slVdOwSxOVR,Pink Pony Club,Chappell Roan,26,-1,7,,2/12/2025,79,FALSE,258034,The Rise and Fall of a Midwest Princess,9/21/2023,0.61,0.65,6,-6.199,1,0.0474,0.399,0,0.11,0.507,106.719,4
7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,Kendrick Lamar,27,2,23,,2/12/2025,84,TRUE,177000,DAMN.,4/14/2017,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39E-05,0.0958,0.421,150.011,4
3aSWXU6owkZeVhh94XxEWO,30 For 30 (with Kendrick Lamar),"SZA, Kendrick Lamar",28,0,22,,2/12/2025,86,TRUE,278276,SOS Deluxe: LANA,12/20/2024,0.714,0.415,1,-10.338,0,0.0634,0.758,0.000112,0.133,0.506,140.059,4
3AWDeHLc88XogCaCnZQLVI,Cry For Me,The Weeknd,29,-2,-16,,2/12/2025,88,TRUE,224136,Hurry Up Tomorrow,1/31/2025,0.647,0.645,7,-6.425,0,0.0303,0.0871,0,0.671,0.422,120.098,4
7d6yK8v8J484SWH5prIQiE,VeLDÁ,"Bad Bunny, Omar Courtz, Dei V",30,0,-8,,2/12/2025,92,TRUE,235336,DeBÍ TiRAR MáS FOToS,1/5/2025,0.613,0.981,1,-18.638,1,0.149,0.29,0.0023,0.437,0.0337,101.852,3
